unix,player_elo,opp_elo,opp_name,opp_30d,elo_diff,color,player_acc,opp_acc,acc_diff,won,num_reque,time_since_prev,opp_num_reque,opp_time_since_prev
1696637316,1307,1352,Omamba,293,-45,True,69.38,64.38,5.0,1.0,6,178,2,177
1696637959,1316,1394,2zygote,573,-78,True,74.35,96.6,-22.25,0.0,7,643,2,659
1696638718,1310,1251,Dduffman001,2,59,True,62.29,74.02,-11.729999999999997,0.0,8,759,1,768
1696639152,1300,1221,FrenchLeo,632,79,True,62.14,49.09,13.049999999999997,1.0,9,434,3,433
1696639959,1306,1440,GameOz,468,-134,False,78.56,70.96,7.6000000000000085,1.0,10,807,2,1210
1696640772,1317,1335,JackyNoLegs,41,-18,False,74.31,82.53,-8.219999999999999,0.0,11,813,1,790
1696641516,1309,1266,HermiChess,351,43,False,61.42,53.48,7.940000000000005,1.0,12,744,5,745
1696641898,1316,1268,tim_ferrari,179,48,True,77.0,66.82,10.180000000000007,1.0,13,382,1,486
1696643154,1323,1321,Siesta-Chan002,18,2,True,70.1,76.13,-6.030000000000001,,0,1256,0,5435
1696643352,1323,1323,SkyFall2022,114,0,False,67.67,83.57,-15.899999999999991,0.0,1,198,5,889
1696644160,1315,1333,LazyTeeth,105,-18,False,60.56,70.48,-9.920000000000002,0.0,2,808,1,812
1696644764,1307,1305,Slamablam,140,2,True,77.94,67.31,10.629999999999995,1.0,3,604,0,6535
1696644945,1315,1342,OldKenobj,49,-27,False,60.71,91.32,-30.609999999999992,0.0,4,181,2,159
1696645756,1308,1396,d3vang,44,-88,True,69.75,57.96,11.79,1.0,5,811,1,885
1696646616,1318,1357,Buse118163,289,-39,True,75.88,65.17,10.709999999999994,1.0,6,860,0,1654
1696649535,1327,1311,AaaronL,189,16,True,81.67,64.26,17.409999999999997,1.0,0,2919,0,14782
1696652705,1335,1304,Stretiner,700,31,False,76.91,66.91,10.0,1.0,0,3170,0,17014
1696704836,1342,1420,lilned,117,-78,False,72.33,65.07,7.260000000000005,1.0,0,52131,0,32318
1696780664,1352,1371,WilliamWW,381,-19,True,56.7,53.93,2.770000000000003,1.0,0,75828,1,934
1696782943,1360,1357,Atenas0,23,3,False,82.64,73.07,9.570000000000007,1.0,0,2279,2,792
1696784084,1368,1373,G_jeevan,148,-5,True,71.1,76.99,-5.890000000000001,0.0,1,1141,0,21722
1696784557,1360,1337,filipflapek,250,23,False,79.09,58.81,20.28,1.0,2,473,0,71231
1696785457,1367,1446,isv77,330,-79,True,87.42,77.0,10.420000000000002,1.0,3,900,0,32312
1696790573,1377,1328,boen_mun,83,49,False,80.57,62.27,18.29999999999999,1.0,0,5116,0,11369
1696791029,1384,1378,escalase,436,6,False,68.54,53.7,14.840000000000003,1.0,1,456,1,334
1696792044,1392,1377,lachenille84130,119,15,False,67.15,64.97,2.180000000000007,1.0,2,1015,0,4392
1696873022,1400,1465,jared_eff,183,-65,True,63.7,40.28,23.42,1.0,0,80978,7,449
1696874391,1409,1406,Awarrior12,94,3,False,71.3,72.53,-1.230000000000004,1.0,0,1369,0,11961
1696874923,1417,1412,jtrinchera,90,5,True,65.6,55.91,9.689999999999998,1.0,1,532,0,1684
1696877097,1425,1385,BeguileKing,85,40,True,71.11,80.27,-9.159999999999997,0.0,0,2174,0,12066
1696878177,1416,1413,charlesslater1,306,3,True,87.31,80.58,6.730000000000004,1.0,1,1080,8,1083
1696879408,1424,1439,vimalnkn,282,-15,False,72.11,81.1,-8.989999999999995,0.0,2,1231,3,1191
1696880524,1416,1388,JKDubya,106,28,False,54.29,66.25,-11.96,0.0,3,1116,0,10367
1696881518,1407,1445,zeljkoskarica,514,-38,True,66.86,72.18,-5.320000000000007,0.0,4,994,10,1001
1696882342,1400,1354,Redwood77,202,46,True,59.27,74.91,-15.639999999999993,0.0,5,824,0,63355
1696883360,1391,1358,Usersidk,390,33,True,74.8,85.5,-10.700000000000003,0.0,6,1018,3,1096
1696883751,1382,1321,saurabhw2022,192,61,False,82.84,77.61,5.230000000000004,1.0,7,391,0,2645
1696884794,1389,1419,vltgslnh,116,-30,False,76.12,68.73,7.390000000000001,1.0,8,1043,1,1041
